playerLabel,totalGoals
MohamedSalah,54
ErlingHaaland,52
KylianMbappe,44
HarryKane,42
CristianoRonaldo,35
RobertLewandowski,33
DarwinNunez,32
AleksandarMitrovic,28
AndersonTalisca,27
LuisDiaz,24
ViniciusJr,24
HeungMinSon,24
JudeBellingham,23
CodyGakpo,22
LionelMessi,21
PhilFoden,19
SadioMane,16
AlexisMacAllister,14
NeymarJr,13
VirgilVanDijk,12
JamalMusiala,12
OusmaneDembele,11
TrentAlexanderArnold,10
KevinDeBruyne,10
RubenNeves,6
JamesMaddison,6
LukaModric,4
