playerLabel,birthDate,birthPlace,height,nationality
CristianoRonaldo,1985-02-05,Funchal,1.87,Portugal national under-20 football team
ErlingHaaland,2000-07-21,England national football team,1.94,Norway national under-21 football team
KylianMbappe,1998-12-20,France national football team,1.78,France national football team
LionelMessi,1987-06-24,Argentina national football team,1.7,Argentina national under-23 football team
MohamedSalah,1992-06-15,Egypt national football team,1.75,Egypt national under-23 football team
NeymarJr,1992-02-05,Brazil national football team,1.75,Brazil national under-17 football team
